Original,Inflection,msarhan,elasticsearch
بكى,تبكي,,
بكى,تبكون,,
بكى,تبكوا,,
بكى,تبكن,,
بكى,يبكي,,
بكى,تبكي,,
بكى,يبكيا,,
بكى,يبكيان,,
بكى,تبكيان,,
بكى,تبكيا,,
بكى,يبكون,,
بكى,يبكوا,,
بكى,يبكن,,
بكى,نبكي,,
بكى,بكيت,,
بكى,بكيت,,
بكى,بكيت,,
بكى,بكيتم,,
بكى,بكيتمن,,
بكى,بكى,,
بكى,بكت,,
بكى,بكيا,,
بكى,بكتا,,
بكى,بكوا,,
بكى,بكين,,
بكى,بكينا,,
بكى,أبك,,
بكى,أبكي,,
بكى,أبكوا,,
بكى,أبكن,,
دنا,دنا,,
دنا,أدنو,,
دنا,تدنو,,
دنا,تدنين,,
دنا,تدني,,
دنا,تدنون,,
دنا,تدنوا,,
دنا,تدنون,,
دنا,يدنو,,
دنا,تدنو,,
دنا,يدنوان,,
دنا,يدنوا,,
دنا,تدنوان,,
دنا,تدنوا,,
دنا,يدنون,,
دنا,يدنوا,,
دنا,يدنون,,
دنا,ندنوا,,
دنا,دنوت,,
دنا,دنوت,,
دنا,دنوت,,
دنا,دنوتم,,
دنا,دنوتن,,
دنا,دنا,,
دنا,دنت,,
دنا,دنوا,,
دنا,دنتا,,
دنا,دنوا,,
دنا,دنون,,
دنا,دنونا,,
دنا,أدن,,
دنا,أدني,,
دنا,أدنوا,,
دنا,أدنون,,
قال,قال,,
قال,أقول,,
قال,تقول,,
قال,تقولين,,
قال,تقولي,,
قال,تقولون,,
قال,تقولوا,,
قال,تقولن,,
قال,يقول,,
قال,تقول,,
قال,يقولا,,
قال,يقولان,,
قال,تقولان,,
قال,تقولا,,
قال,يقولون,,
قال,يقولوا,,
قال,يقلن,,
قال,نقول,,
قال,قلت,,
قال,قلت,,
قال,قالت,,
قال,قلتم,,
قال,قلتن,,
قال,قال,,
قال,قالت,,
قال,قالا,,
قال,قالتا,,
قال,قالوا,,
قال,قلن,,
قال,قلنا,,
قال,قل,,
قال,قولي,,
قال,قولوا,,
قال,قلن,,
باع,باع,,
باع,أبيع,,
