Original,Inflection,ar_std_lem_folding2,is_same
دنا,دنوت,دنوت,False
دنا,دنوتم,دنوتم,False
دنا,دنوتن,دنوتن,False
دنا,دنا,دنا,True
دنا,دنت,دنت,False
دنا,دنوا,دنوا,False
دنا,دنتا,دنتا,False
دنا,دنوا,دنوا,False
دنا,دنون,دن,False
دنا,دنونا,دنونا,False
دنا,أدن,ادن,False
دنا,أدني,ادن,False
دنا,أدنوا,ادنوا,False
دنا,أدنون,ادن,False
قال,قال,قال,True
قال,أقول,اقول,False
قال,تقول,تقول,False
قال,تقولين,تقول,False
قال,تقولي,تقول,False
قال,تقولون,تقول,False
قال,تقولوا,تقولوا,False
قال,تقولن,تقولن,False
قال,يقول,يقول,False
قال,تقول,تقول,False
قال,يقولا,يقولا,False
قال,يقولان,يقول,False
قال,تقولان,تقول,False
قال,تقولا,تقولا,False
قال,يقولون,يقول,False
قال,يقولوا,يقولوا,False
قال,يقلن,يقلن,False
قال,نقول,نقول,False
قال,قلت,قلت,False
قال,قلت,قلت,False
قال,قالت,قالت,False
قال,قلتم,قلتم,False
قال,قلتن,قلتن,False
قال,قال,قال,True
قال,قالت,قالت,False
قال,قالا,قالا,False
قال,قالتا,قالتا,False
قال,قالوا,قالوا,False
قال,قلن,قلن,False
قال,قلنا,قلنا,False
قال,قل,قل,False
قال,قولي,قول,False
قال,قولوا,قولوا,False
قال,قلن,قلن,False
باع,باع,باع,True
باع,أبيع,ابيع,False
باع,تبيع,تبيع,False
باع,تبيعين,تبيع,False
باع,تبيعي,تبيع,False
باع,تبيعون,تبيع,False
باع,تبيعوا,تبيعوا,False
باع,تبعن,تبعن,False
باع,يبيع,يبيع,False
باع,تبيع,تبيع,False
باع,يبيعان,يبيع,False
باع,يبيعا,يبيعا,False
باع,تبيعان,تبيع,False
باع,تبيعا,تبيعا,False
باع,يبيعوا,يبيعوا,False
باع,يبيعون,يبيع,False
باع,يبعن,يبعن,False
باع,نبيع,نبيع,False
باع,بعت,بعت,False
باع,بعت,بعت,False
باع,بعت,بعت,False
باع,بعتم,بعتم,False
باع,بعتن,بعتن,False
باع,باع,باع,True
باع,باعت,باعت,False
باع,باعا,باعا,False
باع,باعتا,باعتا,False
باع,باعوا,باعوا,False
باع,بعن,بعن,False
باع,بعنا,بعنا,False
باع,بيع,بيع,False
باع,بع,بع,False
باع,بيعوا,بيعوا,False
باع,بعن,بعن,False
نام,نام,نام,True
نام,أنام,انام,False
نام,تنام,تنام,False
نام,تنامين,تنام,False
نام,تنامي,تنام,False
نام,تنامون,تنام,False
نام,تناموا,تناموا,False
نام,تنمن,تنمن,False
نام,ينام,ينام,False
نام,تنام,تنام,False
نام,ينامان,ينام,False
نام,يناما,يناما,False
نام,تنامان,تنام,False
نام,تناما,تناما,False
نام,ينامون,ينام,False
نام,يناموا,يناموا,False
نام,ينمن,ينمن,False
نام,ننام,ننام,False
نام,نمت,نمت,False
نام,نمت,نمت,False
نام,نمت,نمت,False
نام,نمتم,نمتم,False
نام,نمتن,نمتن,False
نام,نام,نام,True
نام,نامت,نامت,False
نام,ناما,ناما,False
نام,نامتا,نامتا,False
نام,ناموا,ناموا,False
نام,نمن,نمن,False
نام,نمنا,نمنا,False
نام,نم,نم,False
نام,نامي,نام,True
نام,ناموا,ناموا,False
نام,نمن,نمن,False
صام,صام,صام,True
صام,أصوم,اصوم,False
صام,تصوم,تصوم,False
صام,تصومين,تصوم,False
صام,تصومي,تصوم,False
صام,يصومون,يصوم,False
صام,يصوموا,يصوموا,False
صام,تصمن,تصمن,False
صام,يصوم,يصوم,False
صام,تصوم,تصوم,False
صام,يصومان,يصوم,False
صام,يصوما,يصوما,False
صام,تصومان,تصوم,False
صام,تصوما,تصوما,False
صام,يصومون,يصوم,False
صام,يصوموا,يصوموا,False
صام,يصمن,يصمن,False
صام,نصوم,نصوم,False
صام,صمت,صمت,False
صام,صمت,صمت,False
صام,صمت,صمت,False
صام,صمتم,صمتم,False
صام,صمتن,صمتن,False
صام,صام,صام,True
صام,صامت,صامت,False
صام,صاما,صاما,False
صام,صامتا,صامتا,False
صام,صاموا,صاموا,False
صام,صمن,صمن,False
صام,صمنا,صمنا,False
صام,صم,صم,False
صام,صومي,صوم,False
صام,صوموا,صوموا,False
صام,صمن,صمن,False
ولى,ولى,ولى,True
ولى,أولي,اول,False
ولى,تولي,تول,False
ولى,تولين,تول,False
ولى,تولي,تول,False
ولى,تولون,تول,False
ولى,تولوا,تولوا,False
ولى,تولين,تول,False
ولى,يولي,يول,False
ولى,تولي,تول,False
ولى,يوليا,يوليا,False
ولى,يوليان,يول,False
ولى,توليا,توليا,False
ولى,توليان,تول,False
ولى,يولوا,يولوا,False
ولى,يولون,يول,False
ولى,يولين,يول,False
ولى,نولي,نول,False
ولى,وليت,ليت,False
ولى,وليت,ليت,False
ولى,ولت,ولت,False
ولى,وليتم,ليتم,False
ولى,وليتن,ليتن,False
ولى,ولى,ولى,True
ولى,ولت,ولت,False
ولى,وليا,ليا,False
ولى,ولتا,لتا,False
ولى,ولوا,لوا,False
ولى,ولين,لين,False
ولى,ولينا,لينا,False
ولى,ول,ول,False
ولى,ولي,ول,False
ولى,ولوا,لوا,False
ولى,ولين,لين,False
وصى,وصى,وصى,True
وصى,أوصي,اوص,False
وصى,تزصي,تزص,False
وصى,توصين,توص,False
وصى,توصي,توص,False
وصى,توصون,توص,False
وصى,توصون,توص,False
وصى,توصوا,توصوا,False
وصى,يوصي,يوص,False
وصى,توصي,توص,False
وصى,يوصيان,يوص,False
وصى,يوصيا,يوصيا,False
وصى,توصيان,توص,False
وصى,توصيا,توصيا,False
وصى,يوصون,يوص,False
وصى,يوصوا,يوصوا,False
وصى,يوصين,يوص,False
وصى,نوصي,نوص,False
وصى,وصيت,صيت,False
وصى,وصيت,صيت,False
وصى,وصت,وصت,False
وصى,وصيتم,صيتم,False
وصى,وصيتن,صيتن,False
وصى,وصى,وصى,True
وصى,وصت,وصت,False
وصى,وصيا,صيا,False
وصى,وصتا,صتا,False
وصى,وصوا,صوا,False
وصى,وصين,صين,False
وصى,وصينا,صينا,False
وصى,وص,وص,False
وصى,وصي,وص,False
وصى,وصوا,صوا,False
وصى,وصين,صين,False
وأى,وأى,واى,False
وأى,أئي,ائ,False
وأى,تئي,تئ,False
وأى,تئين,تئ,False
وأى,تئي,تئ,False
وأى,تؤن,تؤن,False
وأى,تأوا,تاوا,False
وأى,تئين,تئ,False
وأى,يئي,يئ,False
وأى,تئي,تئ,False
وأى,يئيان,يئ,False
وأى,يئيا,يئيا,False
وأى,تئيان,تئ,False
وأى,تئيا,تئيا,False
وأى,يؤن,يؤن,False
وأى,يؤا,يؤا,False
وأى,يئين,يئ,False
وأى,نئي,نئ,False
وأى,وأيت,ايت,False
وأى,وأيت,ايت,False
وأى,وأيت,ايت,False
وأى,وأيتم,ايتم,False
وأى,وأيتن,ايتن,False
وأى,وأى,واى,False
وأى,وأت,وات,False
وأى,وأيا,ايا,False
وأى,وأتا,اتا,False
وأى,وأوا,اوا,False
وأى,وأين,اين,False
وأى,وأينا,اينا,False
وأى,إ,ا,False
وأى,إي,اي,False
وأى,أوا,اوا,False
وأى,إين,اين,False
وقى,وقى,وقى,True
وقى,أقي,اق,False
وقى,تقي,تق,False
وقى,تقين,تق,False
وقى,تقي,تق,False
وقى,تقون,تق,False
وقى,تقوا,تقوا,False
وقى,تقين,تق,False
وقى,يقي,يق,False
وقى,تقي,تق,False
وقى,يقيان,يق,False
وقى,يقيا,يقيا,False
وقى,تقيان,تق,False
وقى,تقيا,تقيا,False
وقى,يقون,يق,False
وقى,يقوا,يقوا,False
وقى,يقين,يق,False
وقى,نقي,نق,False
وقى,وقيت,قيت,False
وقى,وقيت,قيت,False
وقى,وقيت,قيت,False
وقى,وقيتم,قيتم,False
وقى,وقيتن,قيتن,False
وقى,وقى,وقى,True
وقى,وقت,وقت,False
وقى,وقيا,قيا,False
وقى,وقيتا,قيتا,False
وقى,وقوا,قوا,False
وقى,وقين,قين,False
وقى,وقينا,قينا,False
وقى,ق,ق,False
