Original,Inflection,rbl_ara,is_same
بكى,بكيا,بَكَى,False
بكى,بكتا,بَكَى,False
بكى,بكوا,بَكَى,False
بكى,بكين,بَيْجِينغ,False
بكى,بكينا,بَكَى,False
بكى,أبك,أَبّ,False
بكى,أبكي,أَبْكَى,False
بكى,أبكوا,أَبْكَى,False
بكى,أبكن,أَبّ,False
دنا,دنا,دان,False
دنا,أدنو,دَنا,False
دنا,تدنو,دَنا,False
دنا,تدنين,دَنا,False
دنا,تدني,دَنِي,False
دنا,تدنون,أَدْنَى,False
دنا,تدنوا,تَدَنَّى,False
دنا,تدنون,أَدْنَى,False
دنا,يدنو,دَنا,False
دنا,تدنو,دَنا,False
دنا,يدنوان,دَنا,False
دنا,يدنوا,دَنا,False
دنا,تدنوان,دَنا,False
دنا,تدنوا,تَدَنَّى,False
دنا,يدنون,دَنِي,False
دنا,يدنوا,دَنا,False
دنا,يدنون,دَنِي,False
دنا,ندنوا,,False
دنا,دنوت,دَنا,False
دنا,دنوت,دَنا,False
دنا,دنوت,دَنا,False
دنا,دنوتم,دَنا,False
دنا,دنوتن,دَنا,False
دنا,دنا,دان,False
دنا,دنت,دَنا,False
دنا,دنوا,دَنا,False
دنا,دنتا,دَنا,False
دنا,دنوا,دَنا,False
دنا,دنون,دَنا,False
دنا,دنونا,دَنا,False
دنا,أدن,أَدان,False
دنا,أدني,أَدْنَى,False
دنا,أدنوا,أَدْنَى,False
دنا,أدنون,أَدْنَى,False
قال,قال,,False
قال,أقول,قال,True
قال,تقول,قال,True
قال,تقولين,قال,True
قال,تقولي,قال,True
قال,تقولون,قال,True
قال,تقولوا,قال,True
قال,تقولن,,False
قال,يقول,قال,True
قال,تقول,قال,True
قال,يقولا,قال,True
قال,يقولان,قال,True
قال,تقولان,قال,True
قال,تقولا,تَقَوُّل,False
قال,يقولون,قال,True
قال,يقولوا,قال,True
قال,يقلن,قال,True
قال,نقول,قال,True
قال,قلت,قَلّ,False
قال,قلت,قَلّ,False
قال,قالت,قال,True
قال,قلتم,قال,True
قال,قلتن,قال,True
قال,قال,,False
قال,قالت,قال,True
قال,قالا,قال,True
قال,قالتا,قال,True
قال,قالوا,قال,True
قال,قلن,قال,True
قال,قلنا,قال,True
قال,قل,قَلّ,False
قال,قولي,قال,True
قال,قولوا,قال,True
قال,قلن,قال,True
باع,باع,,False
باع,أبيع,باع,True
باع,تبيع,باع,True
باع,تبيعين,تَبِيع,False
باع,تبيعي,باع,True
باع,تبيعون,تَبِيع,False
باع,تبيعوا,أَباع,False
باع,تبعن,بيع,False
باع,يبيع,باع,True
باع,تبيع,باع,True
باع,يبيعان,باع,True
باع,يبيعا,باع,True
باع,تبيعان,باع,True
باع,تبيعا,تَبِيع,False
باع,يبيعوا,باع,True
باع,يبيعون,باع,True
باع,يبعن,باع,True
باع,نبيع,باع,True
باع,بعت,باع,True
باع,بعت,باع,True
باع,بعت,باع,True
باع,بعتم,باع,True
باع,بعتن,باع,True
باع,باع,,False
باع,باعت,باع,True
باع,باعا,باع,True
باع,باعتا,باع,True
باع,باعوا,باع,True
باع,بعن,باع,True
باع,بعنا,باع,True
باع,بيع,بَيْع,False
باع,بع,,False
باع,بيعوا,بيع,False
باع,بعن,باع,True
نام,نام,,False
نام,أنام,أَنام,False
نام,تنام,نام,True
نام,تنامين,أَنام,False
نام,تنامي,تَنامَى,False
نام,تنامون,نام,True
نام,تناموا,تَنامَى,False
نام,تنمن,أَنام,False
نام,ينام,نام,True
نام,تنام,نام,True
نام,ينامان,نام,True
نام,يناما,نام,True
نام,تنامان,نام,True
نام,تناما,نام,True
نام,ينامون,نام,True
نام,يناموا,أَنام,False
نام,ينمن,نام,True
نام,ننام,نام,True
نام,نمت,نَمّ,False
نام,نمت,نَمّ,False
نام,نمت,نَمّ,False
نام,نمتم,نام,True
نام,نمتن,نام,True
نام,نام,,False
نام,نامت,نام,True
نام,ناما,نام,True
نام,نامتا,نام,True
نام,ناموا,نام,True
نام,نمن,مَنّ,False
نام,نمنا,نام,True
نام,نم,نَمّ,False
نام,نامي,نامِي,False
نام,ناموا,نام,True
نام,نمن,مَنّ,False
صام,صام,,False
صام,أصوم,صام,True
صام,تصوم,صام,True
صام,تصومين,صام,True
صام,تصومي,صام,True
صام,يصومون,صام,True
صام,يصوموا,صام,True
صام,تصمن,صام,True
